"origin","destiny","sex","age","accepted_total","rejected_total","total","predict2015"
"Armenia","Italia","Hombres","18 a 34",35,40,75,0.3195
"Azerbaijan","Italia","Hombres","18 a 34",5,0,5,0.5538
"Bangladesh","Italia","Hombres","18 a 34",1495,3250,4745,0.3641
"Benin","Italia","Hombres","18 a 34",100,135,235,0.4082
"Bolivia","Italia","Hombres","18 a 34",5,5,10,0.3124
"Bosnia y Herzegovina","Italia","Hombres","18 a 34",85,180,265,0.1532
"Brazil","Italia","Hombres","18 a 34",10,25,35,0.2076
"Burkina Faso","Italia","Hombres","18 a 34",850,1215,2065,0.5163
"Camerún","Italia","Hombres","18 a 34",255,205,460,0.6308
"Chad","Italia","Hombres","18 a 34",430,195,625,0.683
"China (incluye Hong Kong)","Italia","Hombres","18 a 34",20,40,60,0.6483
"Colombia","Italia","Hombres","18 a 34",80,35,115,0.495
"Congo","Italia","Hombres","18 a 34",95,55,150,0.6216
"Costa de Marfil","Italia","Hombres","18 a 34",2775,2285,5060,0.6474
"Croacia","Italia","Hombres","18 a 34",5,10,15,0.1285
"Cuba","Italia","Hombres","18 a 34",40,60,100,0.905
"Desconocido","Italia","Hombres","18 a 34",285,500,785,0.7385
"Egipto","Italia","Hombres","18 a 34",545,420,965,0.6305
"El Salvador","Italia","Hombres","18 a 34",40,45,85,0.4547
"Eritrea","Italia","Hombres","18 a 34",4555,585,5140,0.9578
"Etiopía","Italia","Hombres","18 a 34",550,170,720,0.7712
"Gabón","Italia","Hombres","18 a 34",10,20,30,0.3948
"Gambia","Italia","Hombres","18 a 34",1610,3055,4665,0.5168
"Georgia","Italia","Hombres","18 a 34",30,120,150,0.1667
"Ghana","Italia","Hombres","18 a 34",3300,4200,7500,0.5189
"Guinea","Italia","Hombres","18 a 34",965,965,1930,0.7157
"Guinea Ecuatorial","Italia","Hombres","18 a 34",5,0,5,0.7683
"Guinea-Bissau","Italia","Hombres","18 a 34",230,225,455,0.558
"India","Italia","Hombres","18 a 34",40,250,290,0.1189
"Irán","Italia","Hombres","18 a 34",700,125,825,0.872
"Iraq","Italia","Hombres","18 a 34",1980,420,2400,0.9073
"Kenya","Italia","Hombres","18 a 34",30,75,105,0.4454
"Kosovo","Italia","Hombres","18 a 34",150,425,575,0.254
"Kuwait","Italia","Hombres","18 a 34",0,5,5,0.8983
"Kyrgyzstan","Italia","Hombres","18 a 34",0,5,5,0.4028
"Líbano","Italia","Hombres","18 a 34",80,115,195,0.3616
"Liberia","Italia","Hombres","18 a 34",215,310,525,0.5043
"Libia","Italia","Hombres","18 a 34",165,105,270,0.7053
"Macedonia","Italia","Hombres","18 a 34",5,30,35,0.0276
"Mali","Italia","Hombres","18 a 34",4995,3800,8795,0.7257
"Marruecos","Italia","Hombres","18 a 34",135,660,795,0.2926
"Mauritania","Italia","Hombres","18 a 34",175,160,335,0.5786
"Moldavia","Italia","Hombres","18 a 34",10,30,40,0.1512
"Mongolia","Italia","Hombres","18 a 34",0,5,5,0.1666
"Montenegro","Italia","Hombres","18 a 34",0,35,35,0.0628
"Myanmar/Burma","Italia","Hombres","18 a 34",10,5,15,0.9066
"Nepal","Italia","Hombres","18 a 34",5,50,55,0.452
"Níger","Italia","Hombres","18 a 34",575,385,960,0.6139
"Nigeria","Italia","Hombres","18 a 34",6040,10790,16830,0.4098
"Pakistán","Italia","Hombres","18 a 34",4550,5890,10440,0.5377
"Palestina","Italia","Hombres","18 a 34",275,190,465,0.921
"Perú","Italia","Hombres","18 a 34",5,15,20,0.4524
"Rep. Dem. Congo","Italia","Hombres","18 a 34",80,60,140,0.6112
"República Centroafricana","Italia","Hombres","18 a 34",15,0,15,0.9193
"Rusia","Italia","Hombres","18 a 34",20,15,35,0.5658
"Senegal","Italia","Hombres","18 a 34",1400,2045,3445,0.5482
"Serbia","Italia","Hombres","18 a 34",140,190,330,0.129
"Sierra Leona","Italia","Hombres","18 a 34",135,165,300,0.6838
"Siria","Italia","Hombres","18 a 34",475,280,755,0.9775
"Somalia","Italia","Hombres","18 a 34",8075,365,8440,0.9298
"Sri Lanka","Italia","Hombres","18 a 34",210,185,395,0.7423
"Sudán","Italia","Hombres","18 a 34",890,310,1200,0.8583
"Tanzania","Italia","Hombres","18 a 34",0,5,5,0.3858
"Togo","Italia","Hombres","18 a 34",525,710,1235,0.5759
"Túnez","Italia","Hombres","18 a 34",445,4665,5110,0.1584
"Turquía","Italia","Hombres","18 a 34",1435,1500,2935,0.5408
"Ucrania","Italia","Hombres","18 a 34",50,35,85,0.3337
"Uganda","Italia","Hombres","18 a 34",5,10,15,0.8225
"Venezuela","Italia","Hombres","18 a 34",5,0,5,0.3868
"Vietnam","Italia","Hombres","18 a 34",0,5,5,0.2914
"Yemen","Italia","Hombres","18 a 34",10,0,10,0.8065
"Zimbabwe","Italia","Hombres","18 a 34",5,10,15,0.8047
"Afganistán","Letonia","Hombres","18 a 34",0,20,20,0.3526
"Algeria","Letonia","Hombres","18 a 34",0,5,5,0.0254
"Bangladesh","Letonia","Hombres","18 a 34",0,5,5,0.0482
"Georgia","Letonia","Hombres","18 a 34",0,65,65,0.0174
"Irán","Letonia","Hombres","18 a 34",5,0,5,0.3761
"Rep. Dem. Congo","Letonia","Hombres","18 a 34",0,10,10,0.1221
"Siria","Letonia","Hombres","18 a 34",30,5,35,0.7933
"Afganistán","Lituania","Hombres","18 a 34",30,15,45,0.6696
"Armenia","Lituania","Hombres","18 a 34",0,10,10,0.1338
"Bielorrusia","Lituania","Hombres","18 a 34",10,10,20,0.273
"Cuba","Lituania","Hombres","18 a 34",0,5,5,0.7582
"Eritrea","Lituania","Hombres","18 a 34",5,0,5,0.8819
"Georgia","Lituania","Hombres","18 a 34",0,445,445,0.0618
"India","Lituania","Hombres","18 a 34",0,10,10,0.0425
"Kyrgyzstan","Lituania","Hombres","18 a 34",0,5,5,0.1816
"Pakistán","Lituania","Hombres","18 a 34",0,10,10,0.2768
"Rusia","Lituania","Hombres","18 a 34",20,65,85,0.3001
"Siria","Lituania","Hombres","18 a 34",5,0,5,0.9345
"Sri Lanka","Lituania","Hombres","18 a 34",5,10,15,0.4865
"Ucrania","Lituania","Hombres","18 a 34",5,5,10,0.1415
"Uzbekistán","Lituania","Hombres","18 a 34",0,5,5,0.2797
"Vietnam","Lituania","Hombres","18 a 34",0,65,65,0.1192
"Afganistán","Luxemburgo","Hombres","18 a 34",10,20,30,0.3578
"Albania","Luxemburgo","Hombres","18 a 34",5,80,85,0.0464
"Algeria","Luxemburgo","Hombres","18 a 34",0,75,75,0.026
"Benin","Luxemburgo","Hombres","18 a 34",0,20,20,0.0587
"Bielorrusia","Luxemburgo","Hombres","18 a 34",0,15,15,0.0936
"Bosnia y Herzegovina","Luxemburgo","Hombres","18 a 34",0,120,120,0.0161
"Camerún","Luxemburgo","Hombres","18 a 34",0,20,20,0.1339
"Costa de Marfil","Luxemburgo","Hombres","18 a 34",0,5,5,0.1425
"Desconocido","Luxemburgo","Hombres","18 a 34",0,5,5,0.2036
"Eritrea","Luxemburgo","Hombres","18 a 34",5,30,35,0.6725
"Gambia","Luxemburgo","Hombres","18 a 34",0,10,10,0.0882
"Georgia","Luxemburgo","Hombres","18 a 34",0,10,10,0.0178
"Guinea","Luxemburgo","Hombres","18 a 34",0,25,25,0.1855
"Guinea-Bissau","Luxemburgo","Hombres","18 a 34",0,5,5,0.1025
"Irán","Luxemburgo","Hombres","18 a 34",25,55,80,0.3814
"Iraq","Luxemburgo","Hombres","18 a 34",30,60,90,0.4697
"Kosovo","Luxemburgo","Hombres","18 a 34",0,235,235,0.0299
"Líbano","Luxemburgo","Hombres","18 a 34",0,5,5,0.0487
"Liberia","Luxemburgo","Hombres","18 a 34",0,5,5,0.0843
"Libia","Luxemburgo","Hombres","18 a 34",0,15,15,0.178
"Macedonia","Luxemburgo","Hombres","18 a 34",0,75,75,0.0026
"Mali","Luxemburgo","Hombres","18 a 34",0,5,5,0.1932
"Marruecos","Luxemburgo","Hombres","18 a 34",0,10,10,0.0361
"Montenegro","Luxemburgo","Hombres","18 a 34",20,100,120,0.006
"Nigeria","Luxemburgo","Hombres","18 a 34",5,60,65,0.0591
"Rep. Dem. Congo","Luxemburgo","Hombres","18 a 34",0,10,10,0.1246
"Rusia","Luxemburgo","Hombres","18 a 34",0,30,30,0.1055
"Serbia","Luxemburgo","Hombres","18 a 34",15,275,290,0.0132
"Siria","Luxemburgo","Hombres","18 a 34",10,15,25,0.7969
"Somalia","Luxemburgo","Hombres","18 a 34",0,30,30,0.5453
"Sudán","Luxemburgo","Hombres","18 a 34",0,10,10,0.354
"Togo","Luxemburgo","Hombres","18 a 34",0,5,5,0.1094
"Túnez","Luxemburgo","Hombres","18 a 34",0,65,65,0.0167
"Turquía","Luxemburgo","Hombres","18 a 34",0,20,20,0.0963
"Algeria","Malta","Hombres","18 a 34",0,5,5,0.1399
"Bangladesh","Malta","Hombres","18 a 34",5,55,60,0.2398
"Benin","Malta","Hombres","18 a 34",0,5,5,0.2753
"Burkina Faso","Malta","Hombres","18 a 34",0,55,55,0.3703
"Camerún","Malta","Hombres","18 a 34",0,5,5,0.4849
"Chad","Malta","Hombres","18 a 34",0,20,20,0.5427
"Comoras","Malta","Hombres","18 a 34",0,10,10,0.3728
"Costa de Marfil","Malta","Hombres","18 a 34",0,400,400,0.5028
"Egipto","Malta","Hombres","18 a 34",0,10,10,0.4846
"Eritrea","Malta","Hombres","18 a 34",1180,105,1285,0.9259
"Etiopía","Malta","Hombres","18 a 34",45,175,220,0.6499
"Gambia","Malta","Hombres","18 a 34",0,145,145,0.3707
"Ghana","Malta","Hombres","18 a 34",0,100,100,0.3727
"Guinea","Malta","Hombres","18 a 34",0,45,45,0.581
"Guinea-Bissau","Malta","Hombres","18 a 34",0,15,15,0.4102
"India","Malta","Hombres","18 a 34",0,15,15,0.0692
"Irán","Malta","Hombres","18 a 34",5,0,5,0.7896
"Iraq","Malta","Hombres","18 a 34",0,10,10,0.8436
"Liberia","Malta","Hombres","18 a 34",0,35,35,0.3591
"Libia","Malta","Hombres","18 a 34",205,5,210,0.5687
"Mali","Malta","Hombres","18 a 34",0,430,430,0.5931
"Marruecos","Malta","Hombres","18 a 34",0,10,10,0.1856
"Mauritania","Malta","Hombres","18 a 34",0,5,5,0.4306
"Níger","Malta","Hombres","18 a 34",0,110,110,0.4669
"Nigeria","Malta","Hombres","18 a 34",10,580,590,0.2767
"Pakistán","Malta","Hombres","18 a 34",10,30,40,0.3905
"Palestina","Malta","Hombres","18 a 34",5,25,30,0.8653
"Rep. Dem. Congo","Malta","Hombres","18 a 34",0,5,5,0.4641
"Senegal","Malta","Hombres","18 a 34",0,45,45,0.4007
"Sierra Leona","Malta","Hombres","18 a 34",0,25,25,0.5436
"Siria","Malta","Hombres","18 a 34",390,5,395,0.9598
"Somalia","Malta","Hombres","18 a 34",3595,255,3850,0.8795
"Sri Lanka","Malta","Hombres","18 a 34",5,0,5,0.6133
"Sudán","Malta","Hombres","18 a 34",140,60,200,0.7693
"Togo","Malta","Hombres","18 a 34",0,100,100,0.4279
"Túnez","Malta","Hombres","18 a 34",0,10,10,0.0939
"Turquía","Malta","Hombres","18 a 34",0,5,5,0.3935
"Afganistán","Polonia","Hombres","18 a 34",35,80,115,0.6854
"Algeria","Polonia","Hombres","18 a 34",0,5,5,0.0946
"Apátrida","Polonia","Hombres","18 a 34",15,20,35,0.8348
"Armenia","Polonia","Hombres","18 a 34",5,100,105,0.1424
"Bangladesh","Polonia","Hombres","18 a 34",0,60,60,0.1685
"Bielorrusia","Polonia","Hombres","18 a 34",60,45,105,0.2877
"Camerún","Polonia","Hombres","18 a 34",0,30,30,0.3768
"China (incluye Hong Kong)","Polonia","Hombres","18 a 34",0,20,20,0.3948
"Congo","Polonia","Hombres","18 a 34",0,15,15,0.3676
"Desconocido","Polonia","Hombres","18 a 34",0,5,5,0.4999
"Egipto","Polonia","Hombres","18 a 34",20,35,55,0.3765
"Georgia","Polonia","Hombres","18 a 34",15,1390,1405,0.0661
"Guinea","Polonia","Hombres","18 a 34",0,25,25,0.4711
"India","Polonia","Hombres","18 a 34",0,55,55,0.0456
"Irán","Polonia","Hombres","18 a 34",0,15,15,0.7069
"Iraq","Polonia","Hombres","18 a 34",35,20,55,0.776
"Kazakhstan","Polonia","Hombres","18 a 34",5,15,20,0.1737
"Kyrgyzstan","Polonia","Hombres","18 a 34",5,10,15,0.1926
"Marruecos","Polonia","Hombres","18 a 34",0,5,5,0.1277
"Moldavia","Polonia","Hombres","18 a 34",0,10,10,0.0593
"Mongolia","Polonia","Hombres","18 a 34",5,5,10,0.0661
"Nepal","Polonia","Hombres","18 a 34",0,45,45,0.2259
"Nigeria","Polonia","Hombres","18 a 34",0,55,55,0.1972
"Pakistán","Polonia","Hombres","18 a 34",0,85,85,0.2916
"Palestina","Polonia","Hombres","18 a 34",5,5,10,0.8049
"Rep. Dem. Congo","Polonia","Hombres","18 a 34",0,15,15,0.3575
"Rusia","Polonia","Hombres","18 a 34",830,1820,2650,0.3156
"Siria","Polonia","Hombres","18 a 34",80,10,90,0.9388
"Somalia","Polonia","Hombres","18 a 34",10,5,15,0.8242
"Sri Lanka","Polonia","Hombres","18 a 34",25,0,25,0.5047
"Togo","Polonia","Hombres","18 a 34",0,10,10,0.3245
"Túnez","Polonia","Hombres","18 a 34",0,15,15,0.0624
"Turkmenistán","Polonia","Hombres","18 a 34",5,0,5,0.4085
"Turquía","Polonia","Hombres","18 a 34",0,35,35,0.2941
"Ucrania","Polonia","Hombres","18 a 34",0,170,170,0.1505
"Uzbekistán","Polonia","Hombres","18 a 34",0,10,10,0.2946
"Vietnam","Polonia","Hombres","18 a 34",0,180,180,0.127
"Bosnia y Herzegovina","Portugal","Hombres","18 a 34",5,0,5,0.0842
"Camerún","Portugal","Hombres","18 a 34",5,0,5,0.4646
"Colombia","Portugal","Hombres","18 a 34",15,5,20,0.3323
"Congo","Portugal","Hombres","18 a 34",0,5,5,0.4548
"Costa de Marfil","Portugal","Hombres","18 a 34",15,20,35,0.4824
"Gambia","Portugal","Hombres","18 a 34",0,5,5,0.352
"Guinea","Portugal","Hombres","18 a 34",50,105,155,0.561
"Guinea-Bissau","Portugal","Hombres","18 a 34",0,20,20,0.3906
"Mali","Portugal","Hombres","18 a 34",5,20,25,0.5733
"Marruecos","Portugal","Hombres","18 a 34",0,25,25,0.1736
"Mauritania","Portugal","Hombres","18 a 34",0,5,5,0.4107
"Nigeria","Portugal","Hombres","18 a 34",5,20,25,0.2607
"Pakistán","Portugal","Hombres","18 a 34",10,5,15,0.3713
"Rep. Dem. Congo","Portugal","Hombres","18 a 34",10,0,10,0.4439
"Senegal","Portugal","Hombres","18 a 34",0,25,25,0.3813
"Sierra Leona","Portugal","Hombres","18 a 34",5,10,15,0.5234
"Somalia","Portugal","Hombres","18 a 34",10,0,10,0.8706
"Sri Lanka","Portugal","Hombres","18 a 34",10,0,10,0.5939
"Afganistán","Reino Unido","Hombres","18 a 34",400,5715,6115,0.4449
"Albania","Reino Unido","Hombres","18 a 34",15,1020,1035,0.0654
"Algeria","Reino Unido","Hombres","18 a 34",15,680,695,0.037
"Angola","Reino Unido","Hombres","18 a 34",10,80,90,0.1239
"Apátrida","Reino Unido","Hombres","18 a 34",470,395,865,0.6502
"Arabia Saudi","Reino Unido","Hombres","18 a 34",0,25,25,0.2498
"Armenia","Reino Unido","Hombres","18 a 34",5,20,25,0.0576
"Azerbaijan","Reino Unido","Hombres","18 a 34",5,10,15,0.1391
"Bahréin","Reino Unido","Hombres","18 a 34",35,25,60,0.6693
"Bangladesh","Reino Unido","Hombres","18 a 34",65,1840,1905,0.0694
"Bhutan","Reino Unido","Hombres","18 a 34",25,35,60,0.5056
"Bielorrusia","Reino Unido","Hombres","18 a 34",50,45,95,0.1293
"Bolivia","Reino Unido","Hombres","18 a 34",0,25,25,0.0558
"Bosnia y Herzegovina","Reino Unido","Hombres","18 a 34",0,10,10,0.023
"Botswana","Reino Unido","Hombres","18 a 34",0,5,5,0
"Brazil","Reino Unido","Hombres","18 a 34",0,40,40,0.033
"Burundi","Reino Unido","Hombres","18 a 34",0,20,20,0.2879
"Camerún","Reino Unido","Hombres","18 a 34",65,190,255,0.1819
"Chad","Reino Unido","Hombres","18 a 34",0,50,50,0.219
"China (incluye Hong Kong)","Reino Unido","Hombres","18 a 34",195,1625,1820,0.1935
"Colombia","Reino Unido","Hombres","18 a 34",0,30,30,0.1131
"Congo","Reino Unido","Hombres","18 a 34",0,40,40,0.1761
"Corea del Norte","Reino Unido","Hombres","18 a 34",70,80,150,0.3398
"Corea del Sur","Reino Unido","Hombres","18 a 34",0,5,5,0
"Costa de Marfil","Reino Unido","Hombres","18 a 34",30,130,160,0.1928
"Cuba","Reino Unido","Hombres","18 a 34",0,5,5,0.5536
"Desconocido","Reino Unido","Hombres","18 a 34",0,15,15,0.2688
"Ecuador","Reino Unido","Hombres","18 a 34",0,10,10,0.0646
"Egipto","Reino Unido","Hombres","18 a 34",45,390,435,0.1817
"El Salvador","Reino Unido","Hombres","18 a 34",0,5,5,0.0979
"Eritrea","Reino Unido","Hombres","18 a 34",3560,1785,5345,0.747
"Estados Unidos","Reino Unido","Hombres","18 a 34",0,15,15,0.0452
"Etiopía","Reino Unido","Hombres","18 a 34",110,180,290,0.3049
"Filipinas","Reino Unido","Hombres","18 a 34",0,10,10,0
"Gambia","Reino Unido","Hombres","18 a 34",85,265,350,0.1222
"Georgia","Reino Unido","Hombres","18 a 34",0,105,105,0.0254
"Ghana","Reino Unido","Hombres","18 a 34",30,255,285,0.1231
"Granada","Reino Unido","Hombres","18 a 34",0,5,5,0
"Guinea","Reino Unido","Hombres","18 a 34",40,185,225,0.2467
"Guyana","Reino Unido","Hombres","18 a 34",5,5,10,0.0213
"India","Reino Unido","Hombres","18 a 34",15,1535,1550,0.0173
"Irán","Reino Unido","Hombres","18 a 34",2695,5710,8405,0.47
"Iraq","Reino Unido","Hombres","18 a 34",260,2670,2930,0.5602
"Israel","Reino Unido","Hombres","18 a 34",0,5,5,0.0186
"Jamaica","Reino Unido","Hombres","18 a 34",35,290,325,0.2244
"Jordán","Reino Unido","Hombres","18 a 34",0,45,45,0.1341
"Kenya","Reino Unido","Hombres","18 a 34",5,110,115,0.0946
"Kosovo","Reino Unido","Hombres","18 a 34",0,70,70,0.0424
"Kuwait","Reino Unido","Hombres","18 a 34",135,200,335,0.5347
"Kyrgyzstan","Reino Unido","Hombres","18 a 34",0,15,15,0.0807
"Letonia","Reino Unido","Hombres","18 a 34",0,15,15,0
"Líbano","Reino Unido","Hombres","18 a 34",10,105,115,0.0686
"Liberia","Reino Unido","Hombres","18 a 34",0,30,30,0.1169
"Libia","Reino Unido","Hombres","18 a 34",125,620,745,0.2375
"Lituania","Reino Unido","Hombres","18 a 34",0,20,20,0
"Macedonia","Reino Unido","Hombres","18 a 34",0,10,10,0.0037
"Malasia","Reino Unido","Hombres","18 a 34",10,50,60,0.1718
"Malawi","Reino Unido","Hombres","18 a 34",15,165,180,0.1279
"Mali","Reino Unido","Hombres","18 a 34",0,40,40,0.2561
"Marruecos","Reino Unido","Hombres","18 a 34",10,120,130,0.0511
"Mauricio","Reino Unido","Hombres","18 a 34",0,60,60,0.0348
"Mauritania","Reino Unido","Hombres","18 a 34",0,10,10,0.1516
"México","Reino Unido","Hombres","18 a 34",0,5,5,0
"Moldavia","Reino Unido","Hombres","18 a 34",0,20,20,0.0227
"Mongolia","Reino Unido","Hombres","18 a 34",0,40,40,0.0254
"Myanmar/Burma","Reino Unido","Hombres","18 a 34",315,275,590,0.5581
"Namibia","Reino Unido","Hombres","18 a 34",0,35,35,0
"Nepal","Reino Unido","Hombres","18 a 34",0,115,115,0.0969
"Níger","Reino Unido","Hombres","18 a 34",0,15,15,0.1714
"Nigeria","Reino Unido","Hombres","18 a 34",125,1180,1305,0.0829
"Pakistán","Reino Unido","Hombres","18 a 34",750,4865,5615,0.1315
"Palestina","Reino Unido","Hombres","18 a 34",50,535,585,0.6028
"Polonia","Reino Unido","Hombres","18 a 34",0,115,115,0
"Rep. Dem. Congo","Reino Unido","Hombres","18 a 34",85,255,340,0.1698
"República Centroafricana","Reino Unido","Hombres","18 a 34",0,5,5,0.597
"Ruanda","Reino Unido","Hombres","18 a 34",15,25,40,0.3542
"Rumanía","Reino Unido","Hombres","18 a 34",0,5,5,0.0091
"Rusia","Reino Unido","Hombres","18 a 34",45,110,155,0.145
"Sahara Occidental","Reino Unido","Hombres","18 a 34",0,20,20,0.302
"San Vicente y las Granadinas","Reino Unido","Hombres","18 a 34",5,5,10,0.4378
"Santa Lucía","Reino Unido","Hombres","18 a 34",0,5,5,0
"Senegal","Reino Unido","Hombres","18 a 34",25,70,95,0.1364
"Serbia","Reino Unido","Hombres","18 a 34",5,30,35,0.0189
"Seychelles","Reino Unido","Hombres","18 a 34",0,10,10,0
"Sierra Leona","Reino Unido","Hombres","18 a 34",5,95,100,0.2196
"Siria","Reino Unido","Hombres","18 a 34",1800,740,2540,0.8495
"Somalia","Reino Unido","Hombres","18 a 34",660,895,1555,0.633
"Sri Lanka","Reino Unido","Hombres","18 a 34",885,4320,5205,0.2726
"Suazilandia","Reino Unido","Hombres","18 a 34",0,5,5,0.3829
"Sudáfrica","Reino Unido","Hombres","18 a 34",5,130,135,0.082
"Sudán","Reino Unido","Hombres","18 a 34",1805,865,2670,0.4407
"Tanzania","Reino Unido","Hombres","18 a 34",0,55,55,0.0756
"Togo","Reino Unido","Hombres","18 a 34",0,30,30,0.1502
"Trinidad y Tobago","Reino Unido","Hombres","18 a 34",5,35,40,0.1164
"Túnez","Reino Unido","Hombres","18 a 34",5,95,100,0.0239
"Turkmenistán","Reino Unido","Hombres","18 a 34",0,5,5,0.2026
"Turquía","Reino Unido","Hombres","18 a 34",85,495,580,0.1329
"Ucrania","Reino Unido","Hombres","18 a 34",10,95,105,0.0612
"Uganda","Reino Unido","Hombres","18 a 34",115,215,330,0.3761
"Uzbekistán","Reino Unido","Hombres","18 a 34",5,45,50,0.1331
"Venezuela","Reino Unido","Hombres","18 a 34",5,15,20,0.0758
"Vietnam","Reino Unido","Hombres","18 a 34",25,545,570,0.0508
"Yemen","Reino Unido","Hombres","18 a 34",25,85,110,0.3516
"Zambia","Reino Unido","Hombres","18 a 34",5,15,20,0.1583
"Zimbabwe","Reino Unido","Hombres","18 a 34",920,2080,3000,0.349
"Afganistán","República Checa","Hombres","18 a 34",20,15,35,0.6631
"Algeria","República Checa","Hombres","18 a 34",0,40,40,0.0862
"Apátrida","República Checa","Hombres","18 a 34",15,30,45,0.8203
"Armenia","República Checa","Hombres","18 a 34",0,40,40,0.1305
"Bangladesh","República Checa","Hombres","18 a 34",0,5,5,0.1547
"Bielorrusia","República Checa","Hombres","18 a 34",55,100,155,0.2673
"Camerún","República Checa","Hombres","18 a 34",0,5,5,0.3532
"China (incluye Hong Kong)","República Checa","Hombres","18 a 34",0,25,25,0.3707
"Congo","República Checa","Hombres","18 a 34",0,5,5,0.3443
"Cuba","República Checa","Hombres","18 a 34",40,10,50,0.7529
"Egipto","República Checa","Hombres","18 a 34",0,10,10,0.353
"Eslovaquia","República Checa","Hombres","18 a 34",0,5,5,0
"Georgia","República Checa","Hombres","18 a 34",5,35,40,0.0601
"Ghana","República Checa","Hombres","18 a 34",0,10,10,0.2564
"Guinea","República Checa","Hombres","18 a 34",0,5,5,0.4458
"India","República Checa","Hombres","18 a 34",0,10,10,0.0413
"Irán","República Checa","Hombres","18 a 34",0,5,5,0.6854
"Iraq","República Checa","Hombres","18 a 34",20,5,25,0.7578
"Kazakhstan","República Checa","Hombres","18 a 34",15,25,40,0.1596
"Kosovo","República Checa","Hombres","18 a 34",0,10,10,0.0982
"Kyrgyzstan","República Checa","Hombres","18 a 34",0,50,50,0.1773
"Líbano","República Checa","Hombres","18 a 34",0,5,5,0.1533
"Libia","República Checa","Hombres","18 a 34",0,5,5,0.4334
"Macedonia","República Checa","Hombres","18 a 34",0,5,5,0.009
"Moldavia","República Checa","Hombres","18 a 34",0,20,20,0.0539
"Mongolia","República Checa","Hombres","18 a 34",0,115,115,0.0601
"Myanmar/Burma","República Checa","Hombres","18 a 34",5,0,5,0.7562
"Níger","República Checa","Hombres","18 a 34",0,5,5,0.3369
"Nigeria","República Checa","Hombres","18 a 34",0,65,65,0.1816
"Pakistán","República Checa","Hombres","18 a 34",0,20,20,0.271
"Rep. Dem. Congo","República Checa","Hombres","18 a 34",0,15,15,0.3345
"Rusia","República Checa","Hombres","18 a 34",20,55,75,0.2941
"Serbia","República Checa","Hombres","18 a 34",0,20,20,0.0452
"Siria","República Checa","Hombres","18 a 34",65,40,105,0.9327
"Sri Lanka","República Checa","Hombres","18 a 34",0,10,10,0.4793
"Sudán","República Checa","Hombres","18 a 34",5,5,10,0.6593
"Turquía","República Checa","Hombres","18 a 34",0,210,210,0.2735
"Ucrania","República Checa","Hombres","18 a 34",30,285,315,0.138
"Uzbekistán","República Checa","Hombres","18 a 34",15,0,15,0.2739
"Vietnam","República Checa","Hombres","18 a 34",0,120,120,0.1162
"Afganistán","Rumanía","Hombres","18 a 34",55,185,240,0.342
"Albania","Rumanía","Hombres","18 a 34",0,15,15,0.0434
"Algeria","Rumanía","Hombres","18 a 34",0,835,835,0.0243
"Angola","Rumanía","Hombres","18 a 34",0,5,5,0.084
"Apátrida","Rumanía","Hombres","18 a 34",15,5,20,0.5466
"Bangladesh","Rumanía","Hombres","18 a 34",0,225,225,0.0461
"Camerún","Rumanía","Hombres","18 a 34",0,15,15,0.126
"China (incluye Hong Kong)","Rumanía","Hombres","18 a 34",0,35,35,0.1346
"Costa de Marfil","Rumanía","Hombres","18 a 34",0,5,5,0.1341
"Egipto","Rumanía","Hombres","18 a 34",0,60,60,0.1259
"Georgia","Rumanía","Hombres","18 a 34",0,75,75,0.0166
"Guinea","Rumanía","Hombres","18 a 34",5,5,10,0.1752
"India","Rumanía","Hombres","18 a 34",0,140,140,0.0113
"Irán","Rumanía","Hombres","18 a 34",20,45,65,0.3651
"Iraq","Rumanía","Hombres","18 a 34",80,140,220,0.4524
"Líbano","Rumanía","Hombres","18 a 34",0,10,10,0.0456
"Libia","Rumanía","Hombres","18 a 34",0,25,25,0.168
"Marruecos","Rumanía","Hombres","18 a 34",0,430,430,0.0337
"Mauritania","Rumanía","Hombres","18 a 34",0,5,5,0.1038
"Moldavia","Rumanía","Hombres","18 a 34",0,175,175,0.0148
"Nepal","Rumanía","Hombres","18 a 34",0,5,5,0.0651
"Nigeria","Rumanía","Hombres","18 a 34",0,30,30,0.0554
"Pakistán","Rumanía","Hombres","18 a 34",20,505,525,0.0894
"Palestina","Rumanía","Hombres","18 a 34",20,55,75,0.496
"República Centroafricana","Rumanía","Hombres","18 a 34",5,0,5,0.49
"Rusia","Rumanía","Hombres","18 a 34",0,25,25,0.0991
"Senegal","Rumanía","Hombres","18 a 34",0,10,10,0.0929
"Serbia","Rumanía","Hombres","18 a 34",0,10,10,0.0123
"Siria","Rumanía","Hombres","18 a 34",465,165,630,0.7854
"Somalia","Rumanía","Hombres","18 a 34",15,10,25,0.5279
"Sri Lanka","Rumanía","Hombres","18 a 34",0,15,15,0.1955
"Sudán","Rumanía","Hombres","18 a 34",5,0,5,0.3382
"Túnez","Rumanía","Hombres","18 a 34",0,245,245,0.0156
"Turquía","Rumanía","Hombres","18 a 34",0,95,95,0.0904
"Ucrania","Rumanía","Hombres","18 a 34",5,10,15,0.0405
"Vietnam","Rumanía","Hombres","18 a 34",0,5,5,0.0335
"Afganistán","Suecia","Hombres","18 a 34",1185,3225,4410,0.4271
"Albania","Suecia","Hombres","18 a 34",10,895,905,0.0612
